"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
31.6054,68.2393,-25.329,90.6462
17.194,65.1137,33.0177,97.4802
27.4486,151.773,151.86,120.411
42.6017,109.987,72.1029,98.2539
43.4702,83.4506,61.5527,123.481
23.0621,80.1802,62.0895,66.1721
52.1458,73.6969,17.9944,109.052
22.2539,90.5512,-68.7063,82.9495
2.47809,73.0671,-110.804,53.1991
33.2463,84.9594,-80.7543,90.9069
16.0947,66.836,-125.321,49.2379
20.2349,104.226,-5.16723,100.381
44.4592,114.054,22.1006,80.5454
29.1345,179.547,77.9431,140.01
4.77018,103.411,-75.3274,66.2312
14.1806,78.2926,-85.3151,30.6823
39.6344,1463.04,109.145,117.548
12.1654,58.8626,-95.5329,72.0479
38.7725,73.445,-11.2404,97.669
51.7065,113.616,-35.7143,90.9137
76.9401,69.8341,21.7882,139.878
25.0897,83.262,53.1002,78.227
19.2543,88.8554,80.4435,81.5396
-9.73848,-4.50075,31.4835,68.473
59.5053,51.0171,-50.5493,76.5541
10.7625,91.4303,-8.15931,154.908
19.1788,57.3955,-27.0651,59.5026
27.5114,46.1696,12.7221,70.8358
41.5556,81.4382,-57.6571,92.7536
38.538,39.6003,-82.7013,75.0392
62.0894,96.0122,-8.39749,169.754
0.489219,58.8626,-71.2951,49.071
-2.56679,57.5231,-53.4065,67.5943
28.1019,79.2365,-39.8524,84.3391
51.1119,188.322,89.5885,156.983
63.1563,134.659,184.593,189.404
63.9877,77.9779,-25.0307,72.9969
48.5374,99.3366,21.949,108.263
38.2049,84.0164,34.6862,105.96
6.99358,61.4778,40.3577,56.4812
46.7718,50.0603,-14.1045,79.2342
83.3598,96.2632,1.82932,97.2889
73.7459,103.787,-36.5725,57.1876
18.5159,99.7128,-10.4382,84.4744
60.1103,170.201,56.7702,124.989
58.6135,81.6269,-31.4769,96.5104
308.454,372.41,76.29,94.8975
32.0585,72.5002,81.0649,113.33
14.49,69.7065,-39.7421,81.5048
14.2402,80.6834,-35.428,84.913
43.5602,63.2001,-54.7106,58.7106
43.4257,99.6501,110.996,79.7347
40.2547,67.5377,35.8018,85.1395
41.4804,73.0671,-26.4991,64.5934
22.2712,76.4673,44.1433,74.9459
9110.65,414.406,97.3083,100.969
58.8015,104.789,57.9728,118.227
43.8653,74.0748,10.7576,67.4073
24.9045,87.7874,65.2088,80.546
31.634,73.256,20.9079,81.3848
21.578,94.1297,-62.3988,48.5091
11.9037,31.5644,0.89567,46.3678
23.4131,35.3272,54.1354,57.6089
25.8582,78.5443,-52.4127,90.21
42.5664,29.3961,9.13782,47.3957
52.4286,129.92,101.198,132.415
10.7973,50.3792,-25.7196,59.7684
24.5858,97.8942,39.5148,97.7003
11.3731,67.2187,66.4566,123.57
-4.28857,123.366,-2.89915,104.289
43.6865,115.18,35.4167,148.14
73.4013,96.4514,158.828,173.437
29.4621,80.3689,-148.714,30.5753
-0.452132,39.09,-65.0677,21.6046
39.6776,93.1254,74.764,118.835
0.588414,65.624,-8.42482,68.4697
53.668,100.089,-0.699867,122.529
85.9033,102.534,-30.3855,107.866
107.756,97.016,-46.6681,91.2018
21.21,36.3476,-13.5635,34.6366
-0.638639,34.6894,112.139,65.2334
45.5583,83.8907,-39.0933,49.7219
5193.92,294.934,-23.151,83.4324
24.0799,95.6358,-58.5915,68.7195
20.5977,80.1802,2.19217,78.3266
26.9058,136.59,157,144.21
8.7664,59.3091,41.7038,78.5458
0.519983,85.9651,233.98,69.9891
50.3495,49.6776,-82.6309,107.776
23.724,44.7026,42.6314,41.3148
39.4725,168.838,168.166,141.625
30.473,85.7765,46.046,113.002
58.0378,67.2187,15.4273,93.5225
26.2148,75.7748,64.6807,81.0139
15.9243,100.465,8.27308,104.69
39.8498,122.867,-19.7784,136.22
50.8928,81.8156,161.49,120.45
7.96324,165.987,33.7155,113.024
47.9912,102.032,7.69343,162.86
46.2879,125.739,-8.28415,132.999
24.882,59.4367,-23.5138,89.1279
31.9345,162.08,160.197,151.458
10.873,85.0223,-15.832,87.8646
72.5322,80.4318,80.0819,78.0994
282.636,113.679,116.666,174.255
25.7477,68.5583,86.6921,96.4006
8.85061,41.705,63.4862,57.0205
20.8028,78.2296,2.85967,67.7069
36.2428,92.3721,-71.2243,74.4339
28.5043,48.8485,58.1552,82.2244
35.5883,104.915,190.615,92.3873
